WORD, CLUE
the,
of,
to,
and,
a,
in,
is,
it,
you,
that, This or ___
he,
was,
for,
on,
are,
with, Associated
as,
I,
his,
they, Third-person descriptor
be,
at,
one,
have, Possession of
this, A reference to a present object
from, Originator or sender of
or,
had,
by,
not,
word, Made up of letters
but,
what, Basic inquisitive question
some, Partial of the whole
we,
can,
out,
other, Secondary or peripheral
were, Past-tense are
all, 
there, Reference to location
when, Temporal descriptor
up,
use,
your, Second-person action descriptor
how, 
said, Past-tense speech
an,
each, All parts of whole
she,
which, Question selection from whole
do,
their, Third-person possession
time, Temporally related
if,
will, Last testament
way,
about, "What are you talking ____?"
many, "How ___?"
then, Temporal reference
them, "Us and ____?"
write, Ideas to the page
would, Prospective action
like, To enjoy
so, 
these, Collection descriptor
her,
long, Large number in computer data type notation
make, To create
thing, Reference to non-descript object
see,
him,
two,
has,
look, To observe
more, A greater amount
day,
could, Prospective potential outcome
go,
come, Aberdeen motto as you are
did,
number, Building block of math
sound, Sonic sense
no,
most, The maximum amount
people, plebs
my,
over, Opposite of under
know, Having information about
water, Ocean liquid
than, Often misused comparator
call, Phone action
first, Beginning of sequence
who,
may,
down, "___ and out"
side, Surface of 3D object
been, "Where have you ____?"
now, 
find, To get what your looking for
any,
new,
work, Place of employment
part, Piece of a whole
take, Gain possession through direct action
get,
place, A location
made, To create (in the past)
live, Concert version of music recording 
where, Question of location
after, Following temporally
back, "Front to ____"
little, Small or tiny
only, Exclusive descriptor
round, Spherical or circular
man,
year, Long unit of time
came, Julius before he saw and conquered
show, To display
every, Each in a collection
good, Morally desirable
me, 
give, To relinquish control of to another
our,
under, Beneath
name, Descriptor of noun
very, Increase intensity of descriptor
through, Pass from start to end
just, Only; descriptor
form, "Shape and ____"
sentence, Sequential collection of words
great, Better than good
think, To create thoughts
say, 
help, Provide assistance
low,
line, One dimensional description
differ, To misalign or disagree
turn, Directional change
cause, "_____ and effect"
much, Quantity description
mean, Malicious intent
before, Prior to; Temporally
move, Location transistion
right, Correct; Relative direction
boy, 
old,
too,
same, Copy/Duplicate descriptor
tell, Explain in words
does, Action descriptor; Adverb
set,
three, Small number
want, To long for
air, 
well, Early water source
also, In addition to
play, Activity of joy
small, Size descriptor
end, 
put,
home, Place of residence
read, Consume visually
hand, Decimal based extremity
port, Left in nautical terms
large, Common size of soda in the USA
spell, To sequence letters
add, 
even, To make equal
land, Earthy area
here, Present physical location
must, A duty or obligation
big, 
high, Great altitude 
such, Of this kind
follow, To trail or monitor
act,
why,
ask,
men,
change, Modify or reconstruct
went, Going; Past tense
light, Not heavy
kind, To be empathetic or nice
off, 
need, Necessary want
house, Physical place of residence
picture, Captured moment on paper
try,
us,
again, Repeated
animal, Fauna; Natural being
point, Precise location; Central idea
mother, Maternal relative
world, Habitable celestial body
near, Close in distance
build, Create from scratch
self, Reference to originator
earth, Third rock from the sun
father, Fraternal relative
head, Commanding/Starting appendage
stand, To posture upright
own, 
page, Unit of measurement in book
should, Prospective duty
country, Sovereign state
found, After being lost
answer, Solution to question
school, Place of learning
grow, Positively progress
study, Knowledge gathering
still, Unmoving
learn, Aquire new knowledge
plant, Flora; To place for later
cover, Wrapper; Placed outer layer
food, Energy container for organisms
sun, 
four, Bad luck number in Japan
between, Posture in the midst of two areas
state, Politically organized organization with defined territory
keep, To hold possession of
eye,
never, Not even once
last, Final of multiple
let,
thought, Unit of thinking
city, Densly populated location
tree, Branching organism
cross, To move over; To pass through
farm, A plot for growing
hard, Rigid or difficult
start, Beginning
might, Maybe (in the future)
story, A tale (written or spoken)
saw, 
far,
sea,
draw, Represent visually with markings
left, Port in nautical terms
late, Temporally lacking
run, 
don't, Command to prevent
while, During
press, Apply force with contact
close, To shut
night, Star-gazing time of day
real, Not fake
life, Universal attribute of organisms
few,
north, Principle cardinal direction
open, To make available
seem, "So it would ____"
together, Collection in close proximity
next, Following iteration in sequence
white, Pale hue
children, Young people
begin, To start
got, 
walk, Slow gait
example, A model or representation
ease, With little difficulty
paper, Wood pulp end product
group, A collection of 
always, Consistently happenning
music, Tonally pleasant
those, "What are ____?!" (Meme)
both, Combination of two options
mark, To place an identifier on; Target for robbery
often, Frequently
letter, Message predecessor to e-mail
until, Ending description
mile, Unit of distance (Imperial)
river, Large stream
car, 
feet, Digit based extremity
care, To nurture or help
second, After the beginning
book, Library items
carry, To physically hold
took, To aquire through action (past tense)
science, Fundemental method of reasoning and advancement
eat,
room, Unit of space in building
friend, Greater aquantance
began, Describe the start of (past tense)
idea, Foundation of plans
fish, Water-based lifeform
mountain, Product of tectonic collision
stop, To halt
once, A single time (past tense)
base, A foundation
hear, Sonically detect
horse, Rideable steppe creature
cut, 
sure, To be certain of
watch, Wrist garment
color, Recieved by rods and cones
face, Presentational surface
wood, Early building resource
main, Primary of multiple
enough, Reach necessary limit
plain, Without the bells and whistles
girl, Feminine youth
usual, "Business as ____"
young, Early in development
ready, Prepared for
above, Below (Antonym)
ever, "Happily ____ after"
red,
list, Sequence of items on paper
though, Despite the fact
feel, Experience emotion
talk, Verbalize thoughts
bird, Avian being
soon, Closer temporally
body, The main portion of
dog, 
family, Related via origin
direct, To the point
pose, To position purposfully
leave, To exit
song, Contained tonally pleasant sequence
measure, To observe with units
door, Transitional surface held by frame
product, Output of process
black, Dark hue
short, Small in length
numeral, Mathematical character in Roman or Arabic fashion
class, Description regarding collection or sub-division
wind, Early nautical energy resource
question, Posited inquisitive statement
happen, To occur
complete, Finally whole
ship, Vessel for travel and exploration
area, Bounded physical space 
half, Divide by two
rock, Small unit of earth crust material
order, Sequential pattern
fire, Early human significant discovery
south, Cardinal direction
problem, Issue with
piece, Portion of whole
told, Inform (past tense)
knew, Had information (past tense)
pass, Move to the next
since, Starting from (temporally)
top, 
whole, Undivided item
king, Masculine ruler
space, 3D area
heard, Listened to (past tense)
best, Apex of comparison
hour, Short temporal unit
better, Comparatively superior
true, Boolean category
during, While; Happenning in the midst of
hundred, Decimal system magnitude unit
five, James Monroe in Sequence
remember, To recall
step, To move forward with one unit
early, Close to the temporal beginning
hold, To have possession of
west, Cardinal direction
ground, Earthly floor
interest, Piqued focus
reach, Stretch to target
fast, Speedy action
verb, Grammatical action
sing, Vocally expressed tones
listen, Recieving information sonically
six,
table, Surface of work and meals
travel, To move location
less, Comparatively small
morning, Early time of day
ten,
simple, Lacking complexity
several, Multiple iterations
vowel, Building block of syllable
toward, In the direction of
war,
lay,
against, To oppose
pattern, Deduced relations between
slow, Temporally inactive
center, Between two opposite sides
love, Strong affinity for emotionally
person, Singular of a populus
money, Unit of transaction
serve, To make available to
appear, To visually present
road, Pathway for ground transport
map,
rain, Water cycle component
rule, Governance over
govern, To rule over
pull, To spacially attract
cold, Low temperature
notice, Make awareness
voice, Stylistic uniqueness; Tool for song
unit, Piece of measurement
power, Energy expended
town, Small populated area
fine, To be adequate
certain, To be sure of
fly, 
fall, Autumnal season
lead, Poisonous metal
cry, 
dark, Gruesome or Horrifying
machine, Mechanical object with many parts
note, Small written piece of information
wait, To delay temporally
plan, A prepared course of action
figure, Form of; Numerical descriptor
star, Celestial shine
box, 
noun, Non-abstract grammatical component
field, Sports area of play
rest, A break to recover energy
correct, A valid solution
able, "Ready and ____"
pound, Weight measurement
done, Completed
beauty, Attractive in form or execution
drive, To move forward at speed
stood, Upright (past tense)
contain, Within the whole
front, The presentation side
teach, To inform others educationally
week, Odd length unit of time
final, The ending result
gave, To transfer possession (past tense)
green, Kermit's color
oh, 
quick, Fast
develop, To unfold over time
ocean, Salty body of water
warm, Heated slightly
free, Without cost
minute, noticed in nuance ("______ detail")
strong, Having lots of power
special, Unique in relation to
mind, Abstraction of the brain
behind, On the rear
clear, Lacking opaqueness
tail, Rear extremity
produce, Grocery store wares originating from farm
fact, Verifiable idea or description
street, Pathway for travel
inch, Imperial unit of measurement
multiply, Type of mathematical operation
nothing, In absence of
course, A sequence of educational steps; A raceway arena
stay, To remain in place
wheel, Often compared to early invention
full, At the maximum of a container
force, An action carried out with power
blue, Depressed period
object, General descriptor of an item
decide, To solidify an option
surface, A distinct side of
deep, Far within or to the bottom of
moon, Orbiting celestial
island, Refuge among the waves
foot, Unit of measurement based on extremity
system, A related collection of coordination
busy, Not available at the moment
test, To execute for research purposes
record, To capture a sequence
boat, Small sea-going vessel
common, Lacking in uniqueness
gold, Historical transactional currency
possible, Within the realm of actuality
plane, Game changing early modern invention
stead, "Noble _____"
dry, 
wonder, Imaginative bliss
laugh, Outcome of hilarity
thousand, Decimal system magnitude unit
ago,
ran,
check, Observe to make note of
game, Something to play
shape, Form of
equate, To compare to
hot,
miss, Not hitting the mark
brought, To arrive with (past tense)
heat, Outcome of friction
snow, Upper latitude weather
tire, Rubber shell for travel
bring, to arrive with
yes, 
distant, To be far from
fill, Accumulate within a container
east, Cardinal direction
paint, To colorfully cover
language, Linguistic category
among
grand
ball
yet
wave
drop
heart
am
present
heavy
dance
engine
position
arm
wide
sail
material
size
vary
settle
speak
weight
general
ice
matter
circle
pair
include
divide
syllable
felt
perhaps
pick
sudden
count
square
reason
length
represent
art
subject
region
energy
hunt
probable
bed
brother
egg
ride
cell
believe
fraction
forest
sit
race
window
store
summer
train
sleep
prove
lone
leg
exercise
wall
catch
mount
wish
sky
board
joy
winter
sat
written
wild
instrument
kept
glass
grass
cow
job
edge
sign
visit
past
soft
fun
bright
gas
weather
month
million
bear
finish
happy
hope
flower
clothe
strange
gone
jump
baby
eight
village
meet
root
buy
raise
solve
metal
whether
push
seven
paragraph
third
shall
held
hair
describe
cook
floor
either
result
burn
hill
safe
cat
century
consider
type
law
bit
coast
copy
phrase
silent
tall
sand
soil
roll
temperature
finger
industry
value
fight
lie
beat
excite
natural
view
sense
ear
else
quite
broke
case
middle
kill
son
lake
moment
scale
loud
spring
observe
child
straight
consonant
nation
dictionary
milk
speed
method
organ
pay
age
section
dress
cloud
surprise
quiet
stone
tiny
climb
cool
design
poor
lot
experiment
bottom
key
iron
single
stick
flat
twenty
skin
smile
crease
hole
trade
melody
trip
office
receive
row
mouth
exact
symbol
die
least
trouble
shout
except
wrote
seed
tone
join
suggest
clean
break
lady
yard
rise
bad
blow
oil
blood
touch
grew
cent
mix
team
wire
cost
lost
brown
wear
garden
equal
sent
choose
fell
fit
flow
fair
bank
collect
save
control
decimal
gentle
woman
captain
practice
separate
difficult
doctor
please
protect
noon
whose
locate
ring
character
insect
caught
period
indicate
radio
spoke
atom
human
history
effect
electric
expect
crop
modern
element
hit
student
corner
party
supply
bone
rail
imagine
provide
agree
thus
capital
won't
chair
danger
fruit
rich
thick
soldier
process
operate
guess
necessary
sharp
wing
create
neighbor
wash
bat
rather
crowd
corn
compare
poem
string
bell
depend
meat
rub
tube
famous
dollar
stream
fear
sight
thin
triangle
planet
hurry
chief
colony
clock
mine
tie
enter
major
fresh
search
send
yellow
gun
allow
print
dead
spot
desert
suit
current
lift
rose
continue
block
chart
hat
sell
success
company
subtract
event
particular
deal
swim
term
opposite
wife
shoe
shoulder
spread
arrange
camp
invent
cotton
born
determine
quart
nine
truck
noise
level
chance
gather
shop
stretch
throw
shine
property
column
molecule
select
wrong
gray
repeat
require
broad
prepare
salt
nose
plural
anger
claim
continent
oxygen
sugar
death
pretty
skill
women
season
solution
magnet
silver
thank
branch
match
suffix
especially
fig
afraid
huge
sister
steel
discuss
forward
similar
guide
experience
score
apple
bought
led
pitch
coat
mass
card
band
rope
slip
win
dream
evening
condition
feed
tool
total
basic
smell
valley
nor
double
seat
arrive
master
track
parent
shore
division
sheet
substance
favor
connect
post
spend
chord
fat
glad
original
share
station
dad
bread
charge
proper
bar
offer
segment
slave
duck
instant
market
degree
populate
chick
dear
enemy
reply
drink
occur
support
speech
nature
range
steam
motion
path
liquid
log
meant
quotient
teeth
shell
neck